Voltage,Added Mass,C_d,Starting Distance of Tip From Coil 1,Coil 2 Distance Threshold,Coil 3 Distance Threshold,Coil 1 Duration,Coil 2 Duration,Coil 3 Duration,Coil 1-2 Delay,Coil 2-3 Delay,Max Velocity,Exit Velocity
165,0,0.75,0,1.75,2,39.5,25.5,20.5,7.5,3,145.6568,145.400474
165,20,0.75,0,1.75,2,41.5,27,21.5,8,3,138.2716035,138.023976
165,40,0.75,0,1.75,2,43.5,28,22.5,8.5,3.5,132.0529956,131.8135583
165,60,0.75,0,1.75,2,45.5,29,24,9,3.5,126.3348168,126.087809
165,80,0.75,0,1.75,2,47,30.5,24.5,10,3.5,121.2063659,120.9733608
165,100,0.75,0,1.75,2,49,31.5,25.5,10,4,116.7961801,116.5650354
155,0,2.92762,0,1.75,2,41.5,26.5,21.5,8.5,3,138.2152134,137.8237678
155,20,2.92762,0,1.75,2,43.5,28,22.5,9,3.5,131.0528827,130.6931411
155,40,2.92762,0,1.75,2,46,29.5,24,9,3.5,124.8016658,124.4609238
155,60,2.92762,0,1.75,2,48,31,25,9.5,4,119.3199463,118.9882074
155,80,2.92762,0,1.75,2,50,32.5,26,10,4,114.3439807,114.0305086
155,100,2.92762,0,1.75,2,52,33.5,27.5,10.5,4,109.9032709,109.5871897
145,0,2.92762,0,1.75,2,44.5,29,23,9,3.5,128.2278357,127.8468402
145,20,2.92762,0,1.75,2,47,30.5,24.5,9.5,3.5,121.5263322,121.1703658
145,40,2.92762,0,1.75,2,49.5,32,26,10,3.5,115.6705909,115.3325478
145,60,2.92762,0,1.75,2,51.5,33,27,11,4,110.4965618,110.1713206
145,80,2.92762,0,1.75,2,54,35,28,11,4,105.9178508,105.6015234
145,100,2.92762,0,1.75,2,56,36.5,29,11.5,4.5,101.7873707,101.4771324
135,0,2.92762,0,1.75,2,48.5,31.5,25,9.5,3.5,118.3585472,117.9804725
135,20,2.92762,0,1.75,2,51,33,26.5,10.5,4,112.0914254,111.7370946
135,40,2.92762,0,1.75,2,53.5,35,28,11,4,106.5518246,106.2136962
135,60,2.92762,0,1.75,2,56,36.5,29,11.5,4.5,101.7147498,101.3858289
135,80,2.92762,0,1.75,2,58.5,38,30.5,12,4.5,97.41065413,97.0900503
135,100,2.92762,0,1.75,2,61,39.5,31.5,12.5,5,93.61368569,93.29840843
125,0,2.92762,0,1.75,2,52.5,34,27.5,11,4,108.2653437,107.8939924
125,20,2.92762,0,1.75,2,55.5,36,29,11.5,4.5,102.4910074,102.1374951
125,40,2.92762,0,1.75,2,58.5,38,30.5,12,4.5,97.4653786,97.12371425
125,60,2.92762,0,1.75,2,61,40,32,13,4.5,92.91243348,92.57866421
125,80,2.92762,0,1.75,2,64,42,33.5,13,5,88.963155,88.63219592
125,100,2.92762,0,1.75,2,66.5,43.5,35,14,5,85.43219629,85.10753486
115,0,2.92762,0,1.75,2,58,37.5,30.5,12,4.5,98.37756297,98.00514998
115,20,2.92762,0,1.75,2,61,40,32,13,4.5,92.92092943,92.56370278
115,40,2.92762,0,1.75,2,64.5,42,33.5,13.5,5,88.35766524,88.01093675
115,60,2.92762,0,1.75,2,67.5,44,35.5,14,5.5,84.09439811,83.74849044
115,80,2.92762,0,1.75,2,70.5,46.5,37,14.5,5.5,80.46382456,80.12104582
115,100,2.92762,0,1.75,2,73.5,48,38.5,15.5,6,77.17853706,76.84088345
