Voltage,Added Mass,C_d,Starting Distance of Tip From Coil 1,Coil 2 Distance Threshold,Coil 3 Distance Threshold,Coil 1 Duration,Coil 2 Duration,Coil 3 Duration,Coil 1-2 Delay,Coil 2-3 Delay,Max Velocity,Exit Velocity
50,0,5.95,0,1.75,2,162,117,93,38,14,32.08996167,31.37733991
50,20,5.95,0,1.75,2,173,126,101,42,15,29.60564988,28.86135186
50,40,5.95,0,1.75,2,184,135,108,46,17,27.47905098,26.69456546
50,60,5.95,0,1.75,2,195,146,116,49,18,25.49150581,24.66448062
50,80,5.95,0,1.75,2,207,156,125,52,19,23.67546669,22.79645793
50,100,5.95,0,1.75,2,218,167,134,56,20,22.07465948,21.14369856
50,200,5.95,0,1.75,2,276,227,187,77,28,15.56564944,0.095378259
50,400,5.95,0,1.75,2,412,440,0,142,-994,5.908200257,0.063585506
50,800,5.95,0,1.75,2,0,1000,1000,-1000,-1000,2.356059973,0.038151303
50,1000,5.95,0,1.75,2,0,1000,1000,-1000,-1000,1.792063794,0.031792753
75,0,5.95,0,1.75,2,95,64,51,21,8,57.98962921,57.44949908
75,20,5.95,0,1.75,2,101,69,55,22,8,54.46024613,53.92854303
75,40,5.95,0,1.75,2,107,73,58,23,9,51.30154736,50.77460245
75,60,5.95,0,1.75,2,112,77,62,25,9,48.55264925,48.02365435
75,80,5.95,0,1.75,2,118,81,65,26,10,46.14898818,45.61218365
75,100,5.95,0,1.75,2,123,85,68,28,10,43.93748115,43.39662736
75,200,5.95,0,1.75,2,149,106,84,35,13,35.4400154,34.83297726
75,400,5.95,0,1.75,2,199,149,119,50,18,24.91393774,24.10783812
75,800,5.95,0,1.75,2,303,258,217,88,33,13.2863199,0.085891028
75,1000,5.95,0,1.75,2,362,342,-866,115,47,8.681232787,0.071575856
100,0,5.95,0,1.75,2,67,45,36,14,5,83.14094701,82.60096444
100,20,5.95,0,1.75,2,71,48,38,15,5,78.4836395,77.97811042
100,40,5.95,0,1.75,2,75,50,40,16,6,74.52209452,74.03204438
100,60,5.95,0,1.75,2,79,53,42,16,6,70.8445275,70.37334862
100,80,5.95,0,1.75,2,82,55,44,18,7,67.69950306,67.23581177
100,100,5.95,0,1.75,2,86,58,46,18,7,64.82833525,64.36107423
100,200,5.95,0,1.75,2,102,70,55,23,8,53.73807941,53.28422173
100,400,5.95,0,1.75,2,133,93,74,30,11,40.31904682,39.79903825
100,800,5.95,0,1.75,2,190,140,112,47,17,26.51934882,25.77580902
100,1000,5.95,0,1.75,2,218,166,134,56,20,22.15060517,21.26112571
115,0,5.95,0,1.75,2,57,38,30,12,4,98.17359871,97.61101747
115,20,5.95,0,1.75,2,60,40,32,13,5,92.78598825,92.27269677
115,40,5.95,0,1.75,2,63,42,34,14,5,88.241354,87.73399667
115,60,5.95,0,1.75,2,66,44,35,15,5,84.17242297,83.70534405
115,80,5.95,0,1.75,2,69,46,37,15,6,80.38528515,79.94023692
115,100,5.95,0,1.75,2,72,48,38,16,6,77.18773533,76.75146479
115,200,5.95,0,1.75,2,86,58,47,19,6,64.46957181,64.04651816
115,400,5.95,0,1.75,2,111,76,60,25,9,49.36110797,48.91262299
115,800,5.95,0,1.75,2,155,111,88,37,14,33.74642417,33.15404132
115,1000,5.95,0,1.75,2,177,129,103,43,15,28.93752613,28.25405216
125,0,5.95,0,1.75,2,52,34,27,11,4,108.1293027,107.5514463
125,20,5.95,0,1.75,2,55,36,29,11,5,102.3255344,101.7769392
125,40,5.95,0,1.75,2,58,38,31,12,4,97.29705254,96.7993097
125,60,5.95,0,1.75,2,60,40,32,13,5,92.98831047,92.50106074
125,80,5.95,0,1.75,2,63,42,33,13,5,88.91264549,88.46100937
125,100,5.95,0,1.75,2,66,44,35,13,5,85.32487988,84.89135542
125,200,5.95,0,1.75,2,78,52,41,17,6,71.6464037,71.24816845
125,400,5.95,0,1.75,2,100,67,54,22,8,55.25636454,54.84537131
125,800,5.95,0,1.75,2,139,97,77,32,12,38.49589627,37.97353692
125,1000,5.95,0,1.75,2,157,113,89,37,13,33.33245378,32.73870306
135,0,5.95,0,1.75,2,47,31,25,10,4,117.9798003,117.3682922
135,20,5.95,0,1.75,2,50,33,27,11,3,111.8431396,111.3007092
135,40,5.95,0,1.75,2,53,34,27,11,5,106.4647067,105.9526748
135,60,5.95,0,1.75,2,55,36,30,12,4,101.591519,101.1213578
135,80,5.95,0,1.75,2,58,38,31,12,4,97.38464577,96.93043462
135,100,5.95,0,1.75,2,60,39,32,13,5,93.4536834,93.01513658
135,200,5.95,0,1.75,2,71,47,38,15,6,78.74454083,78.35687972
135,400,5.95,0,1.75,2,91,62,49,19,7,61.11368904,60.72212079
135,800,5.95,0,1.75,2,125,87,69,29,10,43.16663138,42.69241816
135,1000,5.95,0,1.75,2,141,100,79,33,12,37.64426883,37.11168353
145,0,5.95,0,1.75,2,44,29,23,9,3,127.9972211,127.3709389
145,20,5.95,0,1.75,2,46,30,24,10,4,121.4308465,120.8632663
145,40,5.95,0,1.75,2,49,32,26,10,3,115.4334407,114.9117899
145,60,5.95,0,1.75,2,51,34,27,10,4,110.2280407,109.7410022
145,80,5.95,0,1.75,2,53,35,28,11,4,105.7435997,105.2824847
145,100,5.95,0,1.75,2,55,36,30,12,4,101.6262677,101.187194
145,200,5.95,0,1.75,2,65,43,35,14,5,85.76167092,85.37881603
145,400,5.95,0,1.75,2,83,56,45,18,6,66.88409982,66.5162049
145,800,5.95,0,1.75,2,114,78,62,26,10,47.77214569,47.33948724
145,1000,5.95,0,1.75,2,128,90,71,30,10,41.90950535,41.42822015
155,0,5.95,0,1.75,2,41,27,21,8,3,137.8698461,137.2033494
155,20,5.95,0,1.75,2,43,28,23,9,3,130.9332217,130.3454048
155,40,5.95,0,1.75,2,45,30,24,9,3,124.4744311,123.935259
155,60,5.95,0,1.75,2,47,31,25,10,3,118.9848434,118.4819116
155,80,5.95,0,1.75,2,49,33,26,10,3,114.0685092,113.5939302
155,100,5.95,0,1.75,2,51,33,28,11,4,109.6717686,109.197423
155,200,5.95,0,1.75,2,60,40,32,13,5,92.99083572,92.60576598
155,400,5.95,0,1.75,2,77,51,41,16,6,72.7192556,72.36739454
155,800,5.95,0,1.75,2,105,72,57,23,8,52.31843359,51.91718563
155,1000,5.95,0,1.75,2,118,82,65,26,9,46.09696188,45.65348806
165,0,5.95,0,1.75,2,38,24,20,8,3,147.6966706,147.0130651
165,20,5.95,0,1.75,2,40,26,22,8,3,140.0964617,139.4824509
165,40,5.95,0,1.75,2,42,27,23,9,3,133.6696571,133.0814362
165,60,5.95,0,1.75,2,44,29,23,9,3,127.8282352,127.312379
165,80,5.95,0,1.75,2,46,30,24,9,4,122.5852555,122.0989977
165,100,5.95,0,1.75,2,48,32,26,9,3,117.7965098,117.3148577
165,200,5.95,0,1.75,2,56,37,30,12,4,99.91965899,99.54054253
165,400,5.95,0,1.75,2,71,48,38,15,5,78.52522998,78.18546399
165,800,5.95,0,1.75,2,97,66,52,21,8,56.90997693,56.5320881
165,1000,5.95,0,1.75,2,109,74,59,24,9,50.34613602,49.93692055
200,0,5.95,0,1.75,2,30,20,16,7,2,182.2300454,181.4293452
200,20,5.95,0,1.75,2,32,21,17,7,2,173.1363694,172.4355438
200,40,5.95,0,1.75,2,34,22,18,7,2,165.1496707,164.5048998
200,60,5.95,0,1.75,2,35,23,19,8,2,158.1025121,157.5203208
200,80,5.95,0,1.75,2,37,24,20,7,3,151.8295254,151.2970107
200,100,5.95,0,1.75,2,38,25,20,8,3,146.2153701,145.7083154
200,200,5.95,0,1.75,2,45,30,24,9,3,124.5934096,124.2073905
200,400,5.95,0,1.75,2,57,37,30,12,5,98.83381805,98.51931113
200,800,5.95,0,1.75,2,77,51,41,16,6,72.8047106,72.48838984
200,1000,5.95,0,1.75,2,86,58,46,18,6,64.87530731,64.54210433
300,0,5.95,0,1.75,2,19,13,11,4,2,277.4560875,276.3539709
300,20,5.95,0,1.75,2,20,14,11,5,1,263.6583534,262.639166
300,40,5.95,0,1.75,2,21,14,12,5,2,252.2714345,251.4033931
300,60,5.95,0,1.75,2,22,15,12,5,2,242.1679567,241.3804281
