Voltage,Added Mass,C_d,Starting Distance of Tip From Coil 1,Coil 2 Distance Threshold,Coil 3 Distance Threshold,Coil 1 Duration,Coil 2 Duration,Coil 3 Duration,Coil 1-2 Delay,Coil 2-3 Delay,Max Velocity,Exit Velocity
165,0,6,0,2,1,46,66,40,9,53,50.46385616,42.11126167
165,20,6,0,2,1,48,66,41,9,50,49.40927743,41.5863005
165,40,6,0,2,1,50,66,41,9,48,48.72899966,41.76712297
165,60,6,0,2,1,51,66,41,10,46,48.18331312,42.21182947
165,80,6,0,2,1,53,67,41,9,45,47.6401292,42.31909382
165,100,6,0,2,1,55,67,41,9,45,47.03639636,41.98757451
155,0,6,0,2,1,50,71,44,10,56,46.7943545,38.46541885
155,20,6,0,2,1,52,72,44,9,54,45.92774034,38.7008501
155,40,6,0,2,1,53,72,44,10,52,45.39379143,38.92227162
155,60,6,0,2,1,55,72,44,10,50,44.73255618,39.27900617
155,80,6,0,2,1,57,72,45,10,49,44.19416224,38.64065103
155,100,6,0,2,1,59,72,45,10,48,43.80562215,38.76086395
145,0,6,0,2,1,54,78,47,10,62,43.20691524,35.83010425
145,20,6,0,2,1,56,78,47,10,59,42.44863169,36.22301506
145,40,6,0,2,1,58,78,48,10,57,41.85827842,35.73248807
145,60,6,0,2,1,60,77,48,11,55,41.35665222,35.96528788
145,80,6,0,2,1,62,78,48,11,53,40.83347626,36.13907899
145,100,6,0,2,1,64,78,48,11,53,40.40975113,36.0848912
135,0,6,0,2,1,58,84,51,12,69,39.65475413,33.05572525
135,20,6,0,2,1,61,85,52,11,65,38.94676138,32.75158871
135,40,6,0,2,1,63,84,52,12,63,38.41956461,32.9670594
135,60,6,0,2,1,65,85,52,12,61,37.9277602,33.04195195
135,80,6,0,2,1,67,86,52,12,59,37.51125338,33.18738599
135,100,6,0,2,1,69,87,53,12,58,36.99373944,32.71773258
125,0,6,0,2,1,64,93,56,13,76,36.06725474,30.0718259
125,20,6,0,2,1,66,94,57,13,72,35.45856173,29.91223616
125,40,6,0,2,1,69,93,57,13,70,34.95052811,30.02549241
125,60,6,0,2,1,71,94,57,13,68,34.48010394,30.20642594
125,80,6,0,2,1,74,95,58,13,65,34.08909767,29.90140819
125,100,6,0,2,1,76,96,58,13,65,33.64903926,29.84074334
115,0,6,0,2,1,71,104,63,14,86,32.51994667,26.63154419
115,20,6,0,2,1,73,104,63,15,82,32.04368343,26.87485826
115,40,6,0,2,1,76,105,63,14,79,31.54855537,27.1801801
115,60,6,0,2,1,79,105,64,14,77,31.08152263,26.86739068
115,80,6,0,2,1,81,106,64,15,75,30.70010678,26.93661426
115,100,6,0,2,1,84,107,64,15,73,30.27225961,26.9911794
