Voltage,Added Mass,C_d,Starting Distance of Tip From Coil 1,Coil 2 Distance Threshold,Coil 3 Distance Threshold,Coil 1 Duration,Coil 2 Duration,Coil 3 Duration,Coil 1-2 Delay,Coil 2-3 Delay,Max Velocity,Exit Velocity
50,0,5.95,0,2,1,210,458,0,52,-720,10.01417858,0.363345747
50,20,5.95,0,2,1,220,464,0,54,-738,9.505205093,0.331750465
50,40,5.95,0,2,1,230,474,0,56,-760,9.048116479,0.305210428
50,60,5.95,0,2,1,242,490,0,56,-788,8.614286753,0.282602248
50,80,5.95,0,2,1,252,504,0,60,-816,8.210360051,0.263112438
50,100,5.95,0,2,1,264,524,0,60,-848,7.843250077,0.246137442
50,200,5.95,0,2,1,324,-398,1000,74,-1000,6.304294259,0.186103919
50,400,5.95,0,2,1,472,-600,1000,128,-1000,4.281275747,0.125086241
50,800,5.95,0,2,1,0,1000,1000,-1000,-1000,2.279676571,0.075547136
50,1000,5.95,0,2,1,0,1000,1000,-1000,-1000,1.761084224,0.063060006
75,0,5.95,0,2,1,118,194,110,26,188,18.56040447,14.4124363
75,20,5.95,0,2,1,122,196,112,26,180,17.91501843,14.39236615
75,40,5.95,0,2,1,128,198,114,26,170,17.55186891,14.37690433
75,60,5.95,0,2,1,132,198,114,28,166,17.26685281,14.42341186
75,80,5.95,0,2,1,138,200,116,28,160,16.94993385,14.34050863
75,100,5.95,0,2,1,142,204,118,28,160,16.63933941,14.19631547
75,200,5.95,0,2,1,168,222,124,30,156,15.35285175,13.69266808
75,400,5.95,0,2,1,216,270,144,40,174,13.05932244,11.98130401
75,800,5.95,0,2,1,322,434,0,62,-818,6.517710193,0.170081243
75,1000,5.95,0,2,1,382,-462,1000,80,-1000,5.266430779,0.141968641
100,0,5.95,0,2,1,82,126,74,16,110,27.40140115,22.09005418
100,20,5.95,0,2,1,84,126,74,18,104,26.8724658,22.35350184
100,40,5.95,0,2,1,88,126,76,18,98,26.42954413,22.17400164
100,60,5.95,0,2,1,92,128,76,16,98,26.04111602,22.22418065
100,80,5.95,0,2,1,94,128,76,18,94,25.64307048,22.42630323
100,100,5.95,0,2,1,98,128,76,18,92,25.35593694,22.47556165
100,200,5.95,0,2,1,114,138,80,18,88,23.89739775,21.69403324
100,400,5.95,0,2,1,142,158,86,24,90,21.57315147,20.34499477
100,800,5.95,0,2,1,198,212,108,32,112,17.40376007,16.7003803
100,1000,5.95,0,2,1,226,242,120,38,130,15.5846688,15.00304557
115,0,5.95,0,2,1,68,104,62,14,88,32.76044032,26.78046303
115,20,5.95,0,2,1,72,104,62,14,82,32.19612281,27.0756438
115,40,5.95,0,2,1,74,104,64,14,80,31.64430276,26.6038744
115,60,5.95,0,2,1,76,104,64,16,76,31.24156175,26.84469414
115,80,5.95,0,2,1,80,106,64,14,74,30.81969516,26.96873276
115,100,5.95,0,2,1,82,108,64,14,72,30.49523142,27.06563321
115,200,5.95,0,2,1,94,112,66,16,70,28.87720175,26.45962625
115,400,5.95,0,2,1,118,128,70,18,70,26.39888997,25.12334199
115,800,5.95,0,2,1,162,164,84,24,84,22.1124927,21.3596829
115,1000,5.95,0,2,1,182,184,90,30,92,20.28578698,19.74072922
125,0,5.95,0,2,1,62,94,56,12,78,36.3613189,29.63441072
125,20,5.95,0,2,1,64,92,56,14,74,35.64666375,29.97310766
125,40,5.95,0,2,1,66,94,56,14,70,35.19581471,30.25045314
125,60,5.95,0,2,1,70,94,58,12,68,34.67532692,29.67184639
