Model Type,Test Type,Voltage,Turns,Added Mass,Drag Coefficient,Starting Distance of Tip From Coil 1,Coil 2 Distance Threshold,Coil 3 Distance Threshold,Coil 1 Duration,Coil 2 Duration,Coil 3 Duration,Coil 1-2 Delay,Coil 2-3 Delay,Max Velocity,Exit Velocity
actual,Dry,165,actual,0,0.75,0,1.75,2,39.5,26,20.5,8,3,143.7483949,142.289656
actual,Dry,165,actual,20,0.75,0,1.75,2,42,27,22,8.5,3,136.3944868,134.8861301
actual,Dry,165,actual,40,0.75,0,1.75,2,44,28.5,23,9,3,129.76048,128.1980731
actual,Dry,165,actual,60,0.75,0,1.75,2,46,30,24,9,3.5,123.9493982,122.3204167
actual,Dry,165,actual,80,0.75,0,1.75,2,48,31,25,9.5,4,118.7884592,117.1096805
actual,Dry,165,actual,100,0.75,0,1.75,2,49.5,32.5,26.5,10.5,3.5,114.1814467,112.4261178
Low Friction,,,,,,,,,,,,,,,
actual,Dry,165,actual,0,0.75,0,1.75,2,39.5,25.5,20.5,7.5,3,145.6568,145.400474
actual,Dry,165,actual,20,0.75,0,1.75,2,41.5,27,21.5,8,3,138.2716035,138.023976
actual,Dry,165,actual,40,0.75,0,1.75,2,43.5,28,22.5,8.5,3.5,132.0529956,131.8135583
actual,Dry,165,actual,60,0.75,0,1.75,2,45.5,29,24,9,3.5,126.3348168,126.087809
actual,Dry,165,actual,80,0.75,0,1.75,2,47,30.5,24.5,10,3.5,121.2063659,120.9733608
actual,Dry,165,actual,100,0.75,0,1.75,2,49,31.5,25.5,10,4,116.7961801,116.5650354
actual,Submerged,165,actual,0,2.92762,-0.325,0.5,0.5,56.5,21.5,22,44.5,41.5,61.38263393,13.84968987
actual,Submerged,165,actual,0,2.92762,-0.325,0.5,0.75,56.5,21.5,25,44.5,34.5,64.80840301,14.77176995
actual,Submerged,165,actual,0,2.92762,-0.325,0.5,1,56.5,21.5,28.5,44.5,28,67.20596834,15.22963283
actual,Submerged,165,actual,0,2.92762,-0.325,0.5,1.25,56.5,21.5,32.5,44.5,22,68.0811503,15.36407023
actual,Submerged,165,actual,0,2.92762,-0.325,0.5,1.5,56.5,21.5,36.5,44.5,16.5,68.01257933,15.32517752
actual,Submerged,165,actual,0,2.92762,-0.325,0.75,0.5,56.5,24.5,21,37,39,66.0857142,14.07778586
actual,Submerged,165,actual,0,2.92762,-0.325,0.75,0.75,56.5,24.5,24.5,37,32.5,66.0857142,14.97721753
actual,Submerged,165,actual,0,2.92762,-0.325,0.75,1,56.5,24.5,27.5,37,26.5,68.17272175,15.47140012
actual,Submerged,165,actual,0,2.92762,-0.325,0.75,1.25,56.5,24.5,31.5,37,21,69.26056968,15.63515356
actual,Submerged,165,actual,0,2.92762,-0.325,0.75,1.5,56.5,24.5,35.5,37,15.5,69.25876376,15.60093144
actual,Submerged,165,actual,0,2.92762,-0.325,1,0.5,56.5,28.5,21,30,37.5,68.8903457,14.12889651
actual,Submerged,165,actual,0,2.92762,-0.325,1,0.75,56.5,28.5,24,30,31,68.8903457,15.1168751
actual,Submerged,165,actual,0,2.92762,-0.325,1,1,56.5,28.5,27.5,30,25,68.8903457,15.5901592
actual,Submerged,165,actual,0,2.92762,-0.325,1,1.25,56.5,28.5,31,30,19.5,69.80334021,15.75582771
actual,Submerged,165,actual,0,2.92762,-0.325,1,1.5,56.5,28.5,35,30,14.5,69.82651235,15.70003052
actual,Submerged,165,actual,0,2.92762,-0.325,1.25,0.5,56.5,32.5,20.5,23.5,37,70.00843629,14.1989489
actual,Submerged,165,actual,0,2.92762,-0.325,1.25,0.75,56.5,32.5,24,23.5,30.5,70.00843629,15.1624787
actual,Submerged,165,actual,0,2.92762,-0.325,1.25,1,56.5,32.5,27,23.5,25,70.00843629,15.61055662
actual,Submerged,165,actual,0,2.92762,-0.325,1.25,1.25,56.5,32.5,30.5,23.5,19.5,70.01767482,15.8204808
actual,Submerged,165,actual,0,2.92762,-0.325,1.25,1.5,56.5,32.5,34.5,23.5,14.5,70.07008638,15.76112022
actual,Submerged,165,actual,0,2.92762,-0.325,1.5,0.5,56.5,36.5,20.5,17.5,37.5,70.04957905,14.19740865
actual,Submerged,165,actual,0,2.92762,-0.325,1.5,0.75,56.5,36.5,24,17.5,31,70.04957905,15.16057756
actual,Submerged,165,actual,0,2.92762,-0.325,1.5,1,56.5,36.5,27,17.5,25.5,70.04957905,15.64459629
actual,Submerged,165,actual,0,2.92762,-0.325,1.5,1.25,56.5,36.5,30.5,17.5,20,70.04957905,15.81385128
actual,Submerged,165,actual,0,2.92762,-0.325,1.5,1.5,56.5,36.5,34.5,17.5,15,70.04957905,15.75844214
actual,Submerged,165,actual,0,2.92762,-0.25,0.5,0.5,53,21.5,21.5,43.5,41.5,61.73445026,13.83795452
actual,Submerged,165,actual,0,2.92762,-0.25,0.5,0.75,53,21.5,25,43.5,34.5,64.77114193,14.76158855
actual,Submerged,165,actual,0,2.92762,-0.25,0.5,1,53,21.5,28.5,43.5,28,67.2508646,15.26034103
actual,Submerged,165,actual,0,2.92762,-0.25,0.5,1.25,53,21.5,32.5,43.5,22,68.25003534,15.4336043
actual,Submerged,165,actual,0,2.92762,-0.25,0.5,1.5,53,21.5,36.5,43.5,16.5,68.07344815,15.35572146
actual,Submerged,165,actual,0,2.92762,-0.25,0.75,0.5,53,25,21,36,38.5,66.4026962,14.07469517
actual,Submerged,165,actual,0,2.92762,-0.25,0.75,0.75,53,25,24,36,32,66.4026962,15.00833916
actual,Submerged,165,actual,0,2.92762,-0.25,0.75,1,53,25,27.5,36,26,68.28188922,15.46983591
actual,Submerged,165,actual,0,2.92762,-0.25,0.75,1.25,53,25,31,36,20.5,69.24047027,15.62909526
actual,Submerged,165,actual,0,2.92762,-0.25,0.75,1.5,53,25,35.5,36,15,69.30462429,15.59791284
actual,Submerged,165,actual,0,2.92762,-0.25,1,0.5,53,28,21,29.5,37.5,68.98321276,14.2173182
actual,Submerged,165,actual,0,2.92762,-0.25,1,0.75,53,28,24,29.5,31.5,68.98321276,15.10866335
actual,Submerged,165,actual,0,2.92762,-0.25,1,1,53,28,27,29.5,25.5,68.98321276,15.61865161
actual,Submerged,165,actual,0,2.92762,-0.25,1,1.25,53,28,31,29.5,20,69.88804395,15.78627658
actual,Submerged,165,actual,0,2.92762,-0.25,1,1.5,53,28,35,29.5,15,69.89968702,15.72948092
actual,Submerged,165,actual,0,2.92762,-0.25,1.25,0.5,53,32,20.5,23,37.5,70.16286661,14.1570288
actual,Submerged,165,actual,0,2.92762,-0.25,1.25,0.75,53,32,24,23,31,70.16286661,15.11658788
actual,Submerged,165,actual,0,2.92762,-0.25,1.25,1,53,32,27,23,25,70.16286661,15.63132149
actual,Submerged,165,actual,0,2.92762,-0.25,1.25,1.25,53,32,30.5,23,20,70.16286661,15.81055748
actual,Submerged,165,actual,0,2.92762,-0.25,1.25,1.5,53,32,34.5,23,15,70.16286661,15.75356279
actual,Submerged,165,actual,0,2.92762,-0.25,1.5,0.5,53,36.5,21,17,37,70.25141615,14.24782456
actual,Submerged,165,actual,0,2.92762,-0.25,1.5,0.75,53,36.5,23.5,17,31,70.25141615,15.11155374
actual,Submerged,165,actual,0,2.92762,-0.25,1.5,1,53,36.5,27,17,25,70.25141615,15.66373869
actual,Submerged,165,actual,0,2.92762,-0.25,1.5,1.25,53,36.5,31,17,19.5,70.25141615,15.79421119
actual,Submerged,165,actual,0,2.92762,-0.25,1.5,1.5,53,36.5,35,17,14.5,70.25141615,15.73954334
actual,Submerged,165,actual,0,2.92762,0,0.5,0.5,43,21.5,21.5,43,41,61.89178102,13.85002824
actual,Submerged,165,actual,0,2.92762,0,0.5,0.75,43,21.5,25,43,34,64.90692834,14.80766711
actual,Submerged,165,actual,0,2.92762,0,0.5,1,43,21.5,28,43,28,67.21711619,15.24518253
